FIRST_LINE,CR_MULTIPLY_FACTOR,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y
0,0.8,0.1,2.961643836,8.457534247,11.88767123
0,0.8,0.1,3.123287671,8.802739726,12.13424658
0,0.8,0.1,4.246575342,9.178082192,12.38356164
0,0.8,0.1,4.463013699,11.04383562,13.90684932
0,0.8,0.1,4.504109589,11.38356164,14.41917808
0,0.8,0.1,7.01369863,12.65205479,15.79726027
0,0.8,0.1,7.079452055,12.53972603,15.60547945
0,0.8,0.1,6.046575342,12.77260274,15.98630137
0,0.8,0.1,3.44109589,10.31506849,13.24931507
0,0.8,0.1,4.076712329,10.05753425,12.76712329
0,0.8,0.1,4.369863014,9.936986301,12.83287671
0,0.8,0.1,3.961643836,9.654794521,12.19452055
0,0.8,0.1,3.438356164,9.210958904,12.19726027
0,0.8,0.1,4.728767123,10.52876712,13.53972603
0,0.8,0.1,3.802739726,8.306849315,11.29589041
0,0.8,0.1,5.4,11.60821918,15.25205479
0,0.8,0.1,5.002739726,10.28767123,13.1260274
0,0.8,0.1,4.068493151,9.282191781,12.26849315
0,0.8,0.1,3.868493151,10.10136986,12.81643836
0,0.8,0.1,5.753424658,11.65753425,14.80821918
0,0.8,0.1,4.317808219,9.268493151,11.81643836
0,0.8,0.1,4.926027397,9.95890411,13.75068493
0,0.8,0.1,4.745205479,10.56986301,13.38356164
0,0.8,0.1,2.824657534,8.616438356,11.27671233
0,0.8,0.1,4.512328767,10.41917808,13.62739726
0,0.8,0.1,4.123287671,9.104109589,12
0,0.8,0.1,4.819178082,10.41369863,13.4
0,0.8,0.1,3.764383562,9.468493151,12.05479452
0,0.8,0.1,5.221917808,12.47671233,15.48767123
0,0.8,0.1,3.473972603,8.389041096,11.22191781
0,0.8,0.1,5.997260274,12.37534247,15.38356164
0,0.8,0.1,4.690410959,10.97808219,14.12328767
0,0.8,0.1,3.860273973,9.331506849,11.93424658
0,0.8,0.1,4.616438356,10.33424658,13.40273973
0,0.8,0.1,4.265753425,10.57808219,13.31506849
0,0.8,0.1,3.843835616,9.791780822,12.79726027
0,0.8,0.25,4.169863014,9.942465753,12.91506849
0,0.8,0.25,2.580821918,7.569863014,10.69041096
0,0.8,0.25,3.591780822,8.956164384,11.90684932
0,0.8,0.25,3.397260274,8.076712329,11.64109589
0,0.8,0.25,2.463013699,7.62739726,10.63561644
0,0.8,0.25,3.583561644,8.824657534,12.03013699
0,0.8,0.25,2.052054795,6.232876712,9.323287671
0,0.8,0.25,3.904109589,8.668493151,11.58082192
0,0.8,0.25,2.953424658,8.638356164,11.87671233
0,0.8,0.25,2.81369863,8.443835616,11.76164384
0,0.8,0.25,3.632876712,9.706849315,13.15890411
0,0.8,0.25,2.471232877,8.076712329,11.62191781
0,0.8,0.25,3.065753425,9.208219178,12.86849315
0,0.8,0.25,2.564383562,8.117808219,11.17534247
0,0.8,0.25,4.364383562,10.03287671,13.13972603
0,0.8,0.25,4.526027397,11.11780822,14.70136986
0,0.8,0.25,2.663013699,8.405479452,11.55068493
0,0.8,0.25,2.939726027,7.991780822,10.49589041
0,0.8,0.25,2.536986301,8.101369863,11.10410959
0,0.8,0.25,2.665753425,8.383561644,11.49589041
0,0.8,0.25,2.654794521,7.805479452,10.95068493
0,0.8,0.25,2.789041096,7.849315068,10.95616438
0,0.8,0.25,3.219178082,8.64109589,11.7890411
0,0.8,0.25,2.917808219,9.542465753,13.15616438
0,0.8,0.25,3.038356164,8.956164384,12.26849315
0,0.8,0.25,2.191780822,9.789041096,12.8630137
0,0.8,0.25,3.42739726,9.854794521,13.23835616
0,0.8,0.25,4.301369863,8.734246575,12.1369863
0,0.8,0.25,2.712328767,8.24109589,11.4739726
0,0.8,0.25,4.068493151,9.975342466,13.14794521
0,0.8,0.25,3.506849315,8.120547945,11.33972603
0,0.8,0.25,2.712328767,7.421917808,11.04657534
0,0.8,0.25,2.753424658,8.767123288,12.26575342
0,0.8,0.25,3.178082192,7.953424658,11.33424658
0,0.8,0.25,3.145205479,9.019178082,12.24109589
0,0.8,0.25,3.832876712,9.109589041,12.58630137
0,0.8,0.25,1.923287671,6.846575342,10.04931507
0,0.8,0.25,3.594520548,9.624657534,12.74246575
0,0.8,0.25,2.356164384,7.8,10.9260274
0,0.8,0.25,4.126027397,8.564383562,11.88219178
0,0.8,0.25,3.164383562,9.18630137,12.90958904
0,0.8,0.25,2.589041096,8.547945205,11.96986301
0,0.8,0.25,4.054794521,9.263013699,12.52328767
0,0.8,0.25,2.723287671,9.457534247,12.65205479
0,0.8,0.25,2.663013699,8.169863014,11.33972603
0,0.8,0.25,3.42739726,9.035616438,12.13972603
0,0.8,0.25,3.901369863,9.457534247,12.86849315
0,0.8,0.25,3.84109589,9.602739726,12.83287671
0,0.8,0.25,3.328767123,8.824657534,12.34246575
0,0.8,0.25,3.728767123,10.1260274,13.40821918
0,0.8,0.5,3.084931507,9.221917808,12.83561644
0,0.8,0.5,1.82739726,8.065753425,11.80821918
0,0.8,0.5,3.052054795,8.030136986,11.33972603
0,0.8,0.5,1.402739726,6.383561644,9.553424658
0,0.8,0.5,2.052054795,8.164383562,11.85753425
0,0.8,0.5,1.994520548,7.024657534,10.81917808
0,0.8,0.5,1.580821918,6.526027397,10.01917808
0,0.8,0.5,2.58630137,7.926027397,11.0630137
0,0.8,0.5,1.816438356,8.536986301,12.08493151
0,0.8,0.5,1.580821918,7.556164384,10.8109589
0,0.8,0.5,2.430136986,7.619178082,11.3260274
0,0.8,0.5,1.991780822,8.131506849,12.01369863
0,0.8,0.5,1.904109589,7.767123288,11.30684932
0,0.8,0.5,1.983561644,7.726027397,11.07671233
0,0.8,0.5,1.994520548,7.284931507,10.50410959
0,0.8,0.5,2.901369863,8.41369863,11.75616438
0,0.8,0.5,2.17260274,7.320547945,10.34794521
0,0.8,0.5,2.202739726,8.704109589,11.93972603
0,0.8,0.5,2.75890411,7.684931507,11.04931507
0,0.8,0.5,2.068493151,7.509589041,10.33424658
0,0.8,0.5,1.928767123,7.621917808,10.88767123
0,0.8,0.5,1.923287671,8.024657534,11.38082192
0,0.8,0.5,2.057534247,7.624657534,11.00273973
0,0.8,0.5,2.147945205,8.030136986,11.45479452
0,0.8,0.5,1.884931507,6.980821918,10.25479452
0,0.8,0.5,2.62739726,7.898630137,11.06027397
0,0.8,0.5,2.060273973,7.298630137,10.74520548
0,0.8,0.5,2.8,8.17260274,11.48767123
0,0.8,0.5,2.293150685,7.509589041,11.05205479
0,0.8,0.5,1.832876712,8.345205479,11.11780822
0,0.8,0.5,2.761643836,8.230136986,11.80821918
0,0.8,0.5,2.608219178,9,12.20547945
0,0.8,0.5,2.219178082,7.512328767,10.66849315
0,0.8,0.5,1.893150685,7.761643836,11.00547945
0,0.8,0.5,1.936986301,6.120547945,9.769863014
0,0.8,0.5,1.57260274,7.394520548,10.76438356
0,0.8,0.5,2.136986301,7.673972603,10.87123288
0,0.8,0.5,2.397260274,7.980821918,11.80821918
0,0.8,0.5,1.969863014,7.649315068,11.39178082
0,0.8,0.5,2.654794521,7.665753425,11.22465753
0,0.8,0.5,2.323287671,6.704109589,10.43287671
0,0.8,0.5,2.331506849,7.178082192,10.41643836
