FIRST_LINE,CLINICAL_MULTIPLY_FACTOR,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y
0,1.1,0.1,5.934246575,11.6630137,14.29041096
0,1.1,0.1,4.778082192,10.52328767,12.94794521
0,1.1,0.1,4.657534247,9.22739726,11.89041096
0,1.1,0.1,4.18630137,9.893150685,12.49589041
0,1.1,0.1,3.032876712,9.463013699,12.39452055
0,1.1,0.1,5.21369863,9.830136986,12.9890411
0,1.1,0.1,4.235616438,9.846575342,12.25205479
0,1.1,0.1,3.602739726,8.821917808,11.1260274
0,1.1,0.1,4.567123288,10.22465753,13.24109589
0,1.1,0.1,4.284931507,9.906849315,13.3890411
0,1.1,0.1,5.043835616,10.38356164,13.31506849
0,1.1,0.1,4.323287671,9.906849315,12.89041096
0,1.1,0.1,3.331506849,8.468493151,10.92054795
0,1.1,0.1,4.545205479,10.6739726,13.33150685
0,1.1,0.1,3.180821918,8.389041096,10.93424658
0,1.1,0.1,3.695890411,9.043835616,11.89589041
0,1.1,0.1,3.715068493,8.191780822,11.41917808
0,1.1,0.1,5.857534247,12.09315068,14.65753425
0,1.1,0.1,4.339726027,11.68767123,14.59452055
0,1.1,0.1,5.21369863,11.44931507,14.15890411
0,1.1,0.1,4.501369863,9.093150685,11.4630137
0,1.1,0.1,5.161643836,11.00273973,13.88219178
0,1.1,0.1,4.106849315,9.479452055,12.06027397
0,1.1,0.1,3.983561644,10.46575342,13.36164384
0,1.1,0.1,3.953424658,9.509589041,12.23013699
0,1.1,0.1,3.298630137,11.14246575,14.01917808
0,1.1,0.1,3.920547945,9.246575342,12.27123288
0,1.1,0.1,4.37260274,11.54246575,14.47671233
0,1.1,0.1,2.589041096,9.153424658,12.35890411
0,1.1,0.1,6.128767123,11.74246575,14.45479452
0,1.1,0.1,2.890410959,9.753424658,12.75616438
0,1.1,0.1,3.928767123,9.178082192,11.69863014
0,1.1,0.1,5.810958904,11.0109589,14.07671233
0,1.1,0.1,3.578082192,8.802739726,11.69315068
0,1.1,0.1,4.098630137,11.24657534,14.12876712
0,1.1,0.1,3.498630137,9.484931507,12.43835616
0,1.1,0.1,3.936986301,9.169863014,11.75068493
0,1.1,0.1,5.663013699,10.68219178,14.16164384
0,1.1,0.25,2.38630137,7.432876712,10.30684932
0,1.1,0.25,2.380821918,6.575342466,9.260273973
0,1.1,0.25,3.520547945,8.635616438,11.30410959
0,1.1,0.25,2.569863014,7.569863014,10.82191781
0,1.1,0.25,3.353424658,8.791780822,12.22465753
0,1.1,0.25,5.046575342,10.16438356,13.36164384
0,1.1,0.25,3.484931507,8.279452055,11.25479452
0,1.1,0.25,3.043835616,7.95890411,11.1260274
0,1.1,0.25,2.219178082,7.454794521,9.926027397
0,1.1,0.25,3.030136986,8.715068493,12
0,1.1,0.25,2.610958904,8.093150685,10.83287671
0,1.1,0.25,3.342465753,8.797260274,11.97808219
0,1.1,0.25,2.643835616,8.389041096,11.15616438
0,1.1,0.25,3.871232877,9.446575342,12.56438356
0,1.1,0.25,3.75890411,8.82739726,11.55616438
0,1.1,0.25,3.2,7.830136986,11.05753425
0,1.1,0.25,2.583561644,8.183561644,10.8630137
0,1.1,0.25,2.24109589,7.4,10.19452055
0,1.1,0.25,2.37260274,8.906849315,11.51780822
0,1.1,0.25,2.430136986,8.449315068,11.56164384
0,1.1,0.25,2.62739726,7.810958904,10.69315068
0,1.1,0.25,3.145205479,8.238356164,11.4739726
0,1.1,0.25,2.536986301,7.380821918,10.79178082
0,1.1,0.25,3.15890411,8.723287671,11.29315068
0,1.1,0.25,3.35890411,8.898630137,12.44109589
0,1.1,0.25,3.230136986,8.756164384,11.83287671
0,1.1,0.25,3.597260274,8.852054795,11.79726027
0,1.1,0.25,1.8,9.731506849,12.50958904
0,1.1,0.25,3.150684932,7.983561644,11.00821918
0,1.1,0.25,2.950684932,8.164383562,11.36986301
0,1.1,0.25,2.17260274,7.589041096,10.23835616
0,1.1,0.25,2.715068493,8.84109589,11.58082192
0,1.1,0.25,3.076712329,8.082191781,11
0,1.1,0.25,2.635616438,8.739726027,11.77260274
0,1.1,0.25,2.665753425,7.994520548,11.03835616
0,1.1,0.25,2.863013699,8.131506849,10.76164384
0,1.1,0.25,2.6,8.098630137,11.35616438
0,1.1,0.25,2.55890411,7.909589041,11.19178082
0,1.1,0.25,2.912328767,8.101369863,11.1260274
0,1.1,0.25,2.928767123,7.556164384,10.62739726
0,1.1,0.25,1.991780822,6.421917808,8.750684932
0,1.1,0.25,3.071232877,7.934246575,10.55068493
0,1.1,0.25,1.791780822,7.8,10.79726027
0,1.1,0.25,2.084931507,7.350684932,9.830136986
0,1.1,0.25,3.202739726,8.054794521,11.09589041
0,1.1,0.25,3.126027397,7.556164384,10.2109589
0,1.1,0.25,2.347945205,6.580821918,9.326027397
0,1.1,0.25,4.019178082,8.928767123,12.00547945
0,1.1,0.25,2.64109589,7.706849315,10.42465753
0,1.1,0.25,2.734246575,7.967123288,10.61643836
0,1.1,0.5,1.969863014,6.835616438,9.605479452
0,1.1,0.5,1.821917808,6.301369863,9.575342466
0,1.1,0.5,2.169863014,6.402739726,9.632876712
0,1.1,0.5,1.950684932,6.876712329,9.753424658
0,1.1,0.5,2.463013699,7.660273973,10.5890411
0,1.1,0.5,1.821917808,6.578082192,9.810958904
0,1.1,0.5,1.498630137,7.473972603,10.62739726
0,1.1,0.5,2.679452055,7.597260274,10.64931507
0,1.1,0.5,1.824657534,5.945205479,8.452054795
0,1.1,0.5,2.112328767,6.238356164,8.953424658
0,1.1,0.5,2.306849315,7.167123288,10.01369863
