"","PFPR","TREATMENT_COVERAGE","STARTING_PARTNER_DRUG_FREQ","rep","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_PARTNER_DRUG_RES_FREQ_TO_1p","TIME_PARTNER_DRUG_RES_FREQ_TO_5p","TIME_PARTNER_DRUG_RES_FREQ_TO_10p","TIME_PARTNER_DRUG_RES_FREQ_TO_20p","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5"
"2672",10,0.6,0.01,72,5.15068493150685,13.3698630136986,16.8219178082192,0.383561643835616,4.57534246575343,6.7945205479452,9.91780821917808,9.91780821917808,16.1643835616438,4.894125,39,42,35,32,43
"2673",10,0.6,0.01,73,4.73972602739726,14.027397260274,17.1506849315069,0.136986301369863,3.91780821917808,6.05479452054794,8.6027397260274,8.76712328767123,15.5890410958904,4.918075,37,48,37,48,41
"2674",10,0.6,0.01,74,7.6986301369863,14.1095890410959,17.6438356164384,0.0547945205479436,4.9041095890411,7.86301369863014,10.7397260273973,10.5753424657534,16.5753424657534,4.725525,40,48,28,31,42
"2675",10,0.6,0.01,75,6.13698630136986,12.3013698630137,15.2602739726027,1.04109589041096,3.91780821917808,5.80821917808219,7.86301369863014,8.19178082191781,13.8630136986301,5.16485,41,40,38,44,47
"2676",10,0.6,0.01,76,4.41095890410959,13.041095890411,16.4109589041096,0.0547945205479436,4.65753424657534,7.12328767123288,9.17808219178082,9.01369863013699,15.0958904109589,4.920625,39,41,46,54,32
"2677",10,0.6,0.01,77,5.06849315068493,12.4657534246575,15.6712328767123,0.0547945205479436,5.15068493150685,7.61643835616438,10.0821917808219,9.67123287671233,14.5205479452055,4.966025,40,27,33,48,44
"2678",10,0.6,0.01,78,5.06849315068493,16.0821917808219,19.4520547945205,0.0547945205479436,4.73972602739726,6.71232876712329,9.34246575342466,10.4931506849315,17.972602739726,4.567125,35,45,46,39,45
"2679",10,0.6,0.01,79,3.58904109589041,11.1506849315068,14.027397260274,0.136986301369863,3.17808219178082,5.06849315068493,7.12328767123288,6.87671232876712,12.958904109589,5.470125,46,64,58,57,59
"2680",10,0.6,0.01,80,4.16438356164383,11.7260273972603,14.2739726027397,0.547945205479451,4.32876712328767,6.21917808219178,8.93150684931507,9.34246575342466,13.3698630136986,5.2583,44,32,49,32,39
"2681",10,0.6,0.01,81,5.64383561643836,16,19.9452054794521,0.301369863013697,4.57534246575343,7.6986301369863,10.6575342465753,11.3972602739726,17.972602739726,4.416525,35,35,49,51,37
"2682",10,0.6,0.01,82,8.35616438356164,13.9452054794521,16.986301369863,0.0547945205479436,4.73972602739726,6.46575342465754,9.26027397260274,9.42465753424657,15.3424657534247,4.898725,42,32,35,47,41
"2683",10,0.6,0.01,83,4.16438356164383,11.5616438356164,14.4383561643836,0.0547945205479436,5.06849315068493,7.04109589041096,9.17808219178082,8.76712328767123,13.8630136986301,5.277825,44,49,47,39,41
"2684",10,0.6,0.01,84,6.7945205479452,15.6712328767123,18.8767123287671,0.136986301369863,5.56164383561644,7.78082191780822,10.4931506849315,11.5616438356164,17.972602739726,4.49055,24,31,38,40,33
"2685",10,0.6,0.01,85,4.49315068493151,13.2876712328767,16.1643835616438,0.136986301369863,4.82191780821918,7.12328767123288,9.83561643835617,10.4931506849315,15.8356164383562,4.857675,38,43,36,33,35
"2686",10,0.6,0.01,86,6.7945205479452,11.1506849315068,14.1095890410959,0.219178082191782,3.91780821917808,5.97260273972603,8.02739726027397,8.02739726027397,13.4520547945205,5.367525,31,46,28,37,40
"2687",10,0.6,0.01,87,5.97260273972603,17.5616438356164,20.1917808219178,0.0547945205479436,4.16438356164383,6.38356164383562,8.76712328767123,9.50684931506849,17.7260273972603,4.4854,34,39,39,38,59
"2688",10,0.6,0.01,88,4.24657534246575,12.8767123287671,15.8356164383562,0.0547945205479436,3.83561643835617,6.13698630136986,8.68493150684931,8.52054794520548,15.1780821917808,5.0462,50,49,67,70,49
"2689",10,0.6,0.01,89,5.23287671232877,15.3424657534247,18.6301369863014,0.0547945205479436,5.3972602739726,7.61643835616438,10.3287671232877,10.8219178082192,16.986301369863,4.58775,39,41,40,35,38
"2690",10,0.6,0.01,90,4.65753424657534,11.3972602739726,13.8630136986301,0.0547945205479436,4,5.97260273972603,8.27397260273973,8.19178082191781,12.7945205479452,5.38055,42,54,47,41,40
"2691",10,0.6,0.01,91,7.12328767123288,15.3424657534247,18.4657534246575,0.383561643835616,4.57534246575343,6.7945205479452,9.26027397260274,10.1643835616438,16.5753424657534,4.6285,31,41,41,47,38
