FIRST_LINE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,NUMBER_OF_TREATMENTS
0,0.01,8.09041096,10.5890411,12.2575342,5.50136986,9.3369863,389,372,380,324,352,25.1601,1432542
0,0.01,4.41917808,9.3369863,12.0082192,4.25205479,7.83835616,359,339,364,332,257,25.0005,1422560
0,0.01,3.91780822,6.41917808,8.3369863,4.16712329,7.00547945,390,360,317,276,272,25.3098,1415682
0,0.01,12.0082192,15.4246575,17.1753425,5.00547945,9.75616438,350,356,319,347,298,24.5487,1420879
0,0.01,5.92054795,10.0082192,11.8410959,4.83835616,8.5890411,376,353,352,333,332,25.1299,1427198
0,0.01,3.58356164,6.58630137,8.5890411,3.75068493,7.00547945,349,382,348,296,228,25.3455,1422157
0,0.01,6.33424658,9.75616438,12.1726027,4.83835616,8.25479452,354,363,358,368,311,25.067,1427021
0,0.01,6.00547945,9.75616438,12.0082192,4.16712329,8.09041096,368,357,349,305,271,25.1842,1427374
0,0.01,6.25205479,9.16986301,11.2547945,4.41917808,8.6739726,341,379,375,323,270,25.1363,1427851
0,0.01,4.92054795,8.50410959,10.2547945,4.58630137,8.09041096,377,392,358,329,315,25.1199,1423782
0,0.1,6.67123288,10.169863,12.1726027,2.75068493,7.50136986,353,338,300,241,188,25.1007,1418979
0,0.1,6.16712329,9.92328767,11.7561644,3.08767123,6.92054795,328,341,286,273,226,25.17,1426600
0,0.1,2.91780822,7.00547945,9.16986301,2.66849315,6.09041096,404,373,264,212,176,25.3291,1419024
0,0.1,4.83835616,8.3369863,10.5041096,2.49863014,6.25205479,332,352,291,221,200,25.1578,1414103
0,0.1,4.83835616,9.42191781,11.3369863,2.58356164,7.41917808,355,305,293,251,228,24.9955,1407463
0,0.1,3.24931507,7.50136986,9.5890411,3.16438356,6.33424658,359,355,296,269,200,25.3244,1424423
0,0.1,4.67123288,7.41917808,9.50410959,2.58356164,6.41917808,343,315,278,233,167,25.4067,1414785
0,0.1,5.09041096,9.16986301,11.2547945,2.66849315,6.75342466,336,302,295,242,196,25.1458,1414631
0,0.1,3.33150685,7.09041096,8.92328767,2.66849315,6.00547945,350,326,312,264,203,25.4873,1426781
0,0.1,2.33150685,4.67123288,6.58630137,2.58356164,5.25205479,385,295,258,250,178,25.5501,1414965
0,0.1,5.33424658,8.84109589,10.5890411,2.24931507,6.50136986,399,324,251,197,194,25.3209,1415328
0,0.1,3.75068493,9.3369863,11.169863,3.00273973,6.92054795,334,310,308,275,201,25.2518,1427349
